Instituição financeira;Código;Conglomerado;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j);
;;;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;;
BANCO DO BRASIL S.A.;0;BB;49906;80329;b1;1;1;BRASILIA;DF;06/2020;16.981.723;502.910.378;238.748.803;567.622.046;-38.772.545;528.849.501;0;0;0;0;0;197.325.633;78.297.295;57.370.076;1.620.483.409;0;1.620.483.409
CAIXA ECONOMICA FEDERAL;360305;;;80738;b1;1;6;BRASILIA;DF;06/2020;16.241.848;243.578.260;258.295.205;712.138.928;-33.397.716;678.741.211;0;0;0;0;0;87.292.942;131.146.578;14.949.368;1.430.245.412;0;1.430.245.412
ITAÚ UNIBANCO S.A.;60701190;ITAU;10069;80099;b1;2;8;SAO PAULO;SP;06/2020;19.357.469;409.165.991;265.930.817;262.875.730;-23.436.559;239.439.171;44;133;251;-3;425;141.099.893;110.154.846;135.571.240;1.320.719.851;251;1.320.719.601
BANCO BRADESCO S.A.;60746948;BRADESCO;10045;80075;b1;2;8;OSASCO;SP;06/2020;17.079.279;204.658.460;310.642.131;344.404.042;-33.847.521;310.556.521;0;336;334;-2;668;195.547.203;92.215.768;168.998.750;1.299.698.781;334;1.299.698.447
BANCO SANTANDER (BRASIL) S.A.;90400888;SANTANDER;30379;80185;b1;3;8;SAO PAULO;SP;06/2020;7.402.936;133.271.587;210.104.389;194.563.638;-20.240.118;174.323.520;0;21.726;21.726;0;43.453;247.607.552;73.375.355;123.960.254;970.089.046;21.726;970.067.319
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;;;81847;b4;1;4;RIO DE JANEIRO;RJ;06/2020;5.561;114.103.590;73.579.995;272.133.382;-16.292.957;255.840.425;0;0;0;0;0;26.122.410;177.751.982;106.533.412;753.937.375;0;753.937.375
BANCO BTG PACTUAL S.A.;30306294;BTG PACTUAL;49944;80336;b1;2;8;RIO DE JANEIRO;RJ;06/2020;411.207;63.901.646;58.656.535;20.943.168;-1.444.410;19.498.758;0;0;0;0;0;55.604.273;2.481.871;16.809.734;217.364.024;0;217.364.024
BANCO SAFRA S.A.;58160789;SAFRA;10083;80109;b1;2;8;SAO PAULO;SP;06/2020;665.710;79.108.799;29.213.329;45.937.683;-2.212.035;43.725.649;0;0;0;0;0;10.054.038;12.695.552;11.421.794;186.884.870;0;186.884.870
ITAÚ UNIBANCO HOLDING S.A.;60872504;ITAU;10069;80099;b1;2;8;SAO PAULO;SP;06/2020;5;79.474;663.540;0;0;0;0;0;0;0;0;6.089.622;37.844;128.006.502;134.876.986;0;134.876.986
BANCO ITAUCARD S.A.;17192451;ITAU;10069;80099;b2;2;8;SAO PAULO;SP;06/2020;584.617;842.971;22.224.178;36.613.565;-9.567.723;27.045.842;14.972;285.242;234.047;-2.374;531.886;51.788.537;744.888;11.319.161;115.082.080;234.047;114.848.033
